,title,artist,rank,date,weeks
391,Be Bop A-Lula,The Everly Brothers,82,1960-07-11,1
392,Down The Street To 301,Johnny Cash And The Tennessee Two,89,1960-07-11,1
393,"A Woman, A Lover, A Friend",Jackie Wilson,90,1960-07-11,1
394,In My Little Corner Of The World,Anita Bryant,94,1960-07-11,1
395,That's When I Cried,Jimmy Jones,98,1960-07-11,1
396,My Shoes Keep Walking Back To You,Guy Mitchell,100,1960-07-11,1
397,It's Now Or Never,Elvis Presley With The Jordanaires,44,1960-07-18,1
398,Volare,Bobby Rydell,60,1960-07-18,1
399,"Please Help Me, I'm Falling",Rusty Draper,82,1960-07-18,1
400,The Twist,Hank Ballard And The Midnighters,87,1960-07-18,1
401,Walk -- Don't Run,The Ventures,88,1960-07-18,1
402,Ta Ta,Clyde McPhatter,90,1960-07-18,1
403,Do You Mind?,Anthony Newley,92,1960-07-18,1
404,In The Still Of The Night,Dion & The Belmonts,95,1960-07-18,1
405,Mio Amore,The Flamingos,98,1960-07-18,1
406,Night Train,The Viscounts,100,1960-07-18,1
407,A Mess Of Blues,Elvis Presley With The Jordanaires,53,1960-07-25,1
408,I Know One,Jim Reeves,82,1960-07-25,1
409,Dreamin',Johnny Burnette,86,1960-07-25,1
410,Lisa,Jeanne Black,89,1960-07-25,1
411,Whip It On Me,Jessie Hill,91,1960-07-25,1
412,Honky-Tonk Girl,Johnny Cash,92,1960-07-25,1
413,Happy Shades Of Blue,Freddie Cannon,95,1960-07-25,1
414,Theme From The Apartment,Ferrante & Teicher,96,1960-07-25,1
415,She's Just A Whole Lot Like You,Hank Thompson,99,1960-07-25,1
416,Cool Water,Jack Scott,100,1960-07-25,1
417,The Twist,Chubby Checker,49,1960-08-01,1
418,I Love You In The Same Old Way,Paul Anka,73,1960-08-01,1
419,Red Sails In The Sunset,The Platters Featuring Tony Williams,76,1960-08-01,1
420,My Love,Nat King Cole-Stan Kenton,77,1960-08-01,1
421,Hello Young Lovers,Paul Anka,79,1960-08-01,1
